"currencyCode";"tierMinimumUnits";"retailPrice";"unitPrice";"armRegionName";"location";"effectiveStartDate";"meterId";"meterName";"productId";"skuId";"productName";"skuName";"serviceName";"serviceId";"serviceFamily";"unitOfMeasure";"type";"isPrimaryMeterRegion";"armSkuName";"retrievalDate"
"EUR";"0";"0.3277";"0.3277";"uaenorth";"AE North";"11/1/2023 12:00:00 AM";"fbefe014-c346-5dbb-a54e-29445e91f69a";"DC8adscc v5 Low Priority";"DZH318Z0BDL7";"DZH318Z0BDL7/00H8";"Virtual Machines DCadsccv5 Series Windows";"Standard_DC8ads_cc_v5 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_DC8ads_cc_v5";"7/5/2024 6:38:47 AM"
"EUR";"0";"0.0955";"0.0955";"uaenorth";"AE North";"11/1/2023 12:00:00 AM";"fbefe014-c346-5dbb-a54e-29445e91f69a";"DC8adscc v5 Low Priority";"DZH318Z0BDL7";"DZH318Z0BDL7/00H8";"Virtual Machines DCadsccv5 Series Windows";"Standard_DC8ads_cc_v5 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_DC8ads_cc_v5";"7/5/2024 6:38:47 AM"
"EUR";"0";"0.2378";"0.2378";"brazilsouth";"BR South";"11/3/2017 12:00:00 AM";"25558065-486f-4f36-8f37-a90eb356a5e2";"D16s v3 Low Priority";"DZH318Z0BQ50";"DZH318Z0BQ50/00NX";"Virtual Machines DSv3 Series";"D16s v3 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"False";"Standard_D16s_v3";"7/5/2024 6:38:47 AM"
"EUR";"0";"13.6919";"13.6919";"swedensouth";"SE South";"6/8/2021 12:00:00 AM";"fbeff492-419e-5224-a774-4b97d3692fe2";"P1 Secondary DTU";"DZH318Z0BQHC";"DZH318Z0BQHC/01V9";"SQL Database Single Premium";"P1 Secondary";"SQL Database";"DZH3180HX10K";"Databases";"1/Day";"Consumption";"True";"";"7/5/2024 6:38:47 AM"
"EUR";"0";"5.9964";"5.9964";"northeurope";"EU North";"12/1/2017 12:00:00 AM";"fbf056ff-32b1-4c3f-a41e-8e874aa7b016";"M128ms Low Priority";"DZH318Z0BQ4W";"DZH318Z0BQ4W/0051";"Virtual Machines MS Series";"M128ms Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_M128ms";"7/5/2024 6:38:47 AM"
"EUR";"0";"1.2882";"1.2882";"northeurope";"EU North";"11/1/2021 12:00:00 AM";"fbf05aa5-0a50-4550-8a80-98c66e14faf0";"L16s v2";"DZH318Z0BQM3";"DZH318Z0BQM3/0049";"Virtual Machines LSv2 Series";"L16s v2";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_L16s_v2";"7/5/2024 6:38:47 AM"
"EUR";"0";"7188.129";"7188.129";"northeurope";"EU North";"3/1/2019 12:00:00 AM";"fbf05aa5-0a50-4550-8a80-98c66e14faf0";"L16s v2";"DZH318Z0BQM3";"DZH318Z0BQM3/004J";"Virtual Machines LSv2 Series";"L16s v2";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"True";"Standard_L16s_v2";"7/5/2024 6:38:47 AM"
"EUR";"0";"14320.0861";"14320.0861";"northeurope";"EU North";"11/1/2021 12:00:00 AM";"fbf05aa5-0a50-4550-8a80-98c66e14faf0";"L16s v2";"DZH318Z0BQM3";"DZH318Z0BQM3/004H";"Virtual Machines LSv2 Series";"L16s v2";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"True";"Standard_L16s_v2";"7/5/2024 6:38:47 AM"
"EUR";"0";"1.6417";"1.6417";"canadacentral";"CA Central";"10/8/2018 12:00:00 AM";"9cde95a9-0885-4146-aeb7-5f69c3534482";"vCore";"DZH318Z0BJRT";"DZH318Z0BJRT/004V";"SQL Managed Instance Hyperscale - Compute Gen4";"16 vCore";"SQL Managed Instance";"DZH318XWNZTN";"Databases";"1 Hour";"Consumption";"False";"SQLMI_HS_Compute_Gen4_16";"7/5/2024 6:38:47 AM"
"EUR";"0";"0.0694";"0.0694";"eastus2";"US East 2";"6/1/2024 12:00:00 AM";"fbf0911e-d8e2-5db1-a122-b09f5ffcd61b";"DS12-2 v2 Spot";"DZH318Z0BQPW";"DZH318Z0BQPW/03DJ";"Virtual Machines DSv2 Series Windows";"DS12-2 v2 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_DS12-2_v2";"7/5/2024 6:38:47 AM"
