"currencyCode";"tierMinimumUnits";"retailPrice";"unitPrice";"armRegionName";"location";"effectiveStartDate";"meterId";"meterName";"productId";"skuId";"productName";"skuName";"serviceName";"serviceId";"serviceFamily";"unitOfMeasure";"type";"isPrimaryMeterRegion";"armSkuName";"retrievalDate"
"EUR";"0";"0.7021";"0.7021";"northcentralus";"US North Central";"3/1/2019 12:00:00 AM";"003c2bb8-70a7-4e81-9ade-2fb8b5ba0487";"D13";"DZH318Z0BPWK";"DZH318Z0BPWK/003C";"Cloud Services D Series";"D13";"Cloud Services";"DZH31671GG75";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_D13";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.4553";"0.4553";"australiaeast";"AU East";"12/1/2019 12:00:00 AM";"003c81ac-6311-4b68-80de-0eb7e3eefdd2";"Snapshot Execution vCore";"DZH318Z0C8TD";"DZH318Z0C8TD/000J";"Azure Data Share";"Snapshot Execution";"Azure Data Share";"DZH316BK778Q";"Analytics";"1 Hour";"Consumption";"True";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"1.0154";"1.0154";"brazilsoutheast";"BR Southeast";"8/25/2020 12:00:00 AM";"22b13a0a-4b99-5ce1-b6c1-f3159b19fd36";"F8s";"DZH318Z0BQPS";"DZH318Z0BQPS/00XT";"Virtual Machines FS Series Windows";"F8s";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"False";"Standard_F8s";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.6803";"0.6803";"brazilsoutheast";"BR Southeast";"8/25/2020 12:00:00 AM";"22b13a0a-4b99-5ce1-b6c1-f3159b19fd36";"F8s";"DZH318Z0BQPS";"DZH318Z0BQPS/00XT";"Virtual Machines FS Series Windows";"F8s";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"False";"Standard_F8s";"12/18/2023 8:27:51 PM"
"EUR";"0";"3.4532";"3.4532";"germanywestcentral";"DE West Central";"11/1/2021 12:00:00 AM";"003ca79d-2d9f-5426-b770-039ac0f7b56e";"E48ads v5";"DZH318Z093X0";"DZH318Z093X0/02JJ";"Virtual Machines Eadsv5 Series";"E48ads v5";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_E48ads_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"17848.1013";"17848.1013";"germanywestcentral";"DE West Central";"11/1/2021 12:00:00 AM";"003ca79d-2d9f-5426-b770-039ac0f7b56e";"E48ads v5";"DZH318Z093X0";"DZH318Z093X0/02W4";"Virtual Machines Eadsv5 Series";"E48ads v5";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"True";"Standard_E48ads_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"34485.0196";"34485.0196";"germanywestcentral";"DE West Central";"11/1/2021 12:00:00 AM";"003ca79d-2d9f-5426-b770-039ac0f7b56e";"E48ads v5";"DZH318Z093X0";"DZH318Z093X0/02VP";"Virtual Machines Eadsv5 Series";"E48ads v5";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"True";"Standard_E48ads_v5";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0794";"0.0794";"australiacentral";"AU Central";"2/1/2021 12:00:00 AM";"a2480d1b-d9ac-48a3-a180-2c1ea4f33140";"GRS Index Tags";"DZH318Z0BPH7";"DZH318Z0BPH7/001Z";"General Block Blob v2";"Archive GRS";"Storage";"DZH317F1HKN0";"Storage";"10K/Month";"Consumption";"False";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0217";"0.0217";"polandcentral";"PL Central";"12/1/2023 12:00:00 AM";"003cd9e2-8e87-589a-9fc0-0327dcc83e23";"B2s v2 Low Priority";"DZH318Z0K9K9";"DZH318Z0K9K9/04XX";"Virtual Machines Bsv2 Series";"B2s v2 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_B2s_v2";"12/18/2023 8:27:51 PM"
"EUR";"0";"2.946";"2.946";"australiasoutheast";"AU Southeast";"11/1/2022 12:00:00 AM";"003d57c1-177f-5425-b8ca-7ad6475c35a8";"M208s v2 Spot";"DZH318Z0BX5L";"DZH318Z0BX5L/00RL";"Virtual Machines MSv2 Series";"M208s v2 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_M208s_v2";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.132";"0.132";"uksouth";"UK South";"12/1/2017 12:00:00 AM";"003d6f45-5d78-46af-97e7-d40ab47649a5";"L8s Low Priority";"DZH318Z0BQ4V";"DZH318Z0BQ4V/004Z";"Virtual Machines LS Series";"L8s Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_L8s";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.7167";"0.7167";"ukwest";"UK West";"9/1/2023 12:00:00 AM";"003dc04f-4d82-5bed-8b9d-ab908e2c17aa";"B16ls v2";"DZH318Z0K9KD";"DZH318Z0K9KD/01XX";"Virtual Machines Bsv2 Series Windows";"B16ls v2";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_B16ls_v2";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.6493";"0.6493";"ukwest";"UK West";"9/1/2023 12:00:00 AM";"003dc04f-4d82-5bed-8b9d-ab908e2c17aa";"B16ls v2";"DZH318Z0K9KD";"DZH318Z0K9KD/01XX";"Virtual Machines Bsv2 Series Windows";"B16ls v2";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_B16ls_v2";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.4243";"0.4243";"swedensouth";"SE South";"6/8/2021 12:00:00 AM";"003dda1f-d62c-5fff-b7a7-538ad636dd5f";"Large Gateway";"DZH318Z0BNXC";"DZH318Z0BNXC/006W";"Basic Application Gateway";"Large";"Application Gateway";"DZH319QDM5ZN";"Networking";"1 Hour";"Consumption";"True";"";"12/18/2023 8:27:51 PM"
"EUR";"0";"2.2147";"2.2147";"westeurope";"EU West";"8/1/2020 12:00:00 AM";"003dea30-2b48-58f3-9adf-f7cbb5159f08";"E32 v4";"DZH318Z0D1L7";"DZH318Z0D1L7/00WP";"Virtual Machines Ev4 Series";"E32 v4";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_E32_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"11447.0449";"11447.0449";"westeurope";"EU West";"8/1/2020 12:00:00 AM";"003dea30-2b48-58f3-9adf-f7cbb5159f08";"E32 v4";"DZH318Z0D1L7";"DZH318Z0D1L7/01RN";"Virtual Machines Ev4 Series";"E32 v4";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"True";"Standard_E32_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"22117.2935";"22117.2935";"westeurope";"EU West";"8/1/2020 12:00:00 AM";"003dea30-2b48-58f3-9adf-f7cbb5159f08";"E32 v4";"DZH318Z0D1L7";"DZH318Z0D1L7/01RJ";"Virtual Machines Ev4 Series";"E32 v4";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"True";"Standard_E32_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"1.1656";"1.1656";"westeurope";"EU West";"3/1/2017 12:00:00 AM";"003e1713-c374-4003-9a73-27b3ccc80c38";"E16 v3/E16s v3";"DZH318Z0BQ4L";"DZH318Z0BQ4L/00LK";"Virtual Machines Ev3 Series";"E16 v3";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_E16_v3";"12/18/2023 8:27:51 PM"
"EUR";"0";"6005.8282";"6005.8282";"westeurope";"EU West";"7/17/2017 12:00:00 AM";"003e1713-c374-4003-9a73-27b3ccc80c38";"E16 v3/E16s v3";"DZH318Z0BQ4L";"DZH318Z0BQ4L/003V";"Virtual Machines Ev3 Series";"E16 v3";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"True";"Standard_E16_v3";"12/18/2023 8:27:51 PM"
"EUR";"0";"11521.7193";"11521.7193";"westeurope";"EU West";"7/17/2017 12:00:00 AM";"003e1713-c374-4003-9a73-27b3ccc80c38";"E16 v3/E16s v3";"DZH318Z0BQ4L";"DZH318Z0BQ4L/003W";"Virtual Machines Ev3 Series";"E16 v3";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"True";"Standard_E16_v3";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0969";"0.0969";"australiaeast";"AU East";"9/1/2023 12:00:00 AM";"003e2bb0-c276-5a6b-89a9-fc48eefef51c";"E8ds v4 Spot";"DZH318Z0CSHB";"DZH318Z0CSHB/00GB";"Virtual Machines Edsv4 Series Windows";"E8ds v4 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_E8ds_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"0.0634";"0.0634";"australiaeast";"AU East";"9/1/2023 12:00:00 AM";"003e2bb0-c276-5a6b-89a9-fc48eefef51c";"E8ds v4 Spot";"DZH318Z0CSHB";"DZH318Z0CSHB/00GB";"Virtual Machines Edsv4 Series Windows";"E8ds v4 Spot";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_E8ds_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"2.4479";"2.4479";"westus";"US West";"11/1/2021 12:00:00 AM";"003e3c5c-e15e-5bc2-ba5b-cbc3c8349cba";"D48 v4";"DZH318Z0D1L4";"DZH318Z0D1L4/002S";"Virtual Machines Dv4 Series";"D48 v4";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_D48_v4";"12/18/2023 8:27:51 PM"
"EUR";"0";"12609.052";"12609.052";"westus";"US West";"11/1/2021 12:00:00 AM";"003e3c5c-e15e-5bc2-ba5b-cbc3c8349cba";"D48 v4";"DZH318Z0D1L4";"DZH318Z0D1L4/00WS";"Virtual Machines Dv4 Series";"D48 v4";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"True";"Standard_D48_v4";"12/18/2023 8:27:51 PM"
