"currencyCode";"tierMinimumUnits";"retailPrice";"unitPrice";"armRegionName";"location";"effectiveStartDate";"meterId";"meterName";"productId";"skuId";"productName";"skuName";"serviceName";"serviceId";"serviceFamily";"unitOfMeasure";"type";"isPrimaryMeterRegion";"armSkuName";"retrievalDate"
"EUR";"0";"0.5595";"0.5595";"northeurope";"EU North";"11/1/2021 12:00:00 AM";"fe06c622-a358-5b56-ab91-e2a386998767";"D48ds v5 Low Priority";"DZH318Z08MC6";"DZH318Z08MC6/00NG";"Virtual Machines Ddsv5 Series";"Standard_D48ds_v5 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_D48ds_v5";"6/5/2024 6:31:01 AM"
"EUR";"0";"0.1174";"0.1174";"japaneast";"JA East";"11/1/2020 12:00:00 AM";"fe0700d8-2b84-5a56-a252-89b39a94035a";"RA-GZRS Data Stored";"DZH318Z0BNZ4";"DZH318Z0BNZ4/008X";"Queues v2";"Standard RA-GZRS";"Storage";"DZH317F1HKN0";"Storage";"1 GB/Month";"Consumption";"True";"";"6/5/2024 6:31:01 AM"
"EUR";"0";"6.3982";"6.3982";"uaecentral";"AE Central";"5/1/2021 12:00:00 AM";"fe0714be-2cbc-534c-8aec-ad87d9605b9d";"Esv4 Type1";"DZH318Z0DB0Z";"DZH318Z0DB0Z/004G";"ESv4 Series Dedicated Host";"Esv4 Type1";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Esv4_Type1";"6/5/2024 6:31:01 AM"
"EUR";"0";"33068.2449";"33068.2449";"uaecentral";"AE Central";"5/1/2021 12:00:00 AM";"fe0714be-2cbc-534c-8aec-ad87d9605b9d";"Esv4 Type1";"DZH318Z0DB0Z";"DZH318Z0DB0Z/004C";"ESv4 Series Dedicated Host";"Esv4 Type1";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"True";"Esv4_Type1";"6/5/2024 6:31:01 AM"
"EUR";"0";"63894.0263";"63894.0263";"uaecentral";"AE Central";"5/1/2021 12:00:00 AM";"fe0714be-2cbc-534c-8aec-ad87d9605b9d";"Esv4 Type1";"DZH318Z0DB0Z";"DZH318Z0DB0Z/0049";"ESv4 Series Dedicated Host";"Esv4 Type1";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Reservation";"True";"Esv4_Type1";"6/5/2024 6:31:01 AM"
"EUR";"0";"0.1387";"0.1387";"centralus";"US Central";"4/1/2023 12:00:00 AM";"fe072189-df42-5eb6-9d45-d0ac761237a0";"D4ls v5 Low Priority";"DZH318Z08M9K";"DZH318Z08M9K/00MB";"Virtual Machines Dlsv5 Series Windows";"D4ls v5 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"Consumption";"True";"Standard_D4ls_v5";"6/5/2024 6:31:01 AM"
"EUR";"0";"0.0355";"0.0355";"centralus";"US Central";"4/1/2023 12:00:00 AM";"fe072189-df42-5eb6-9d45-d0ac761237a0";"D4ls v5 Low Priority";"DZH318Z08M9K";"DZH318Z08M9K/00MB";"Virtual Machines Dlsv5 Series Windows";"D4ls v5 Low Priority";"Virtual Machines";"DZH313Z7MMC8";"Compute";"1 Hour";"DevTestConsumption";"True";"Standard_D4ls_v5";"6/5/2024 6:31:01 AM"
"EUR";"0";"1.4888";"1.4888";"westus2";"US West 2";"12/11/2018 12:00:00 AM";"9706e6a9-3463-4a29-bcd2-7cb69683bff2";"Standard Unit";"DZH318Z0BP4V";"DZH318Z0BP4V/000B";"SignalR";"Standard";"SignalR";"DZH319BFCV72";"Analytics";"1/Day";"Consumption";"False";"";"6/5/2024 6:31:01 AM"
"EUR";"0";"3.3753";"3.3753";"westeurope";"EU West";"11/4/2019 12:00:00 AM";"609f8f46-51df-42ec-a7d9-cd3a49ce7e79";"VpnGw5";"DZH318Z0BNXL";"DZH318Z0BNXL/00L9";"VPN Gateway";"VpnGw5";"VPN Gateway";"DZH314W50487";"Networking";"1 Hour";"Consumption";"False";"";"6/5/2024 6:31:01 AM"
"EUR";"0";"0.4143";"0.4143";"centralus";"US Central";"5/10/2017 12:00:00 AM";"fe076ae0-b804-43df-a901-295ce263c166";"D4 Low Priority";"DZH318Z0BPWK";"DZH318Z0BPWK/006K";"Cloud Services D Series";"D4 Low Priority";"Cloud Services";"DZH31671GG75";"Compute";"1 Hour";"Consumption";"True";"Standard_D4";"6/5/2024 6:31:01 AM"
